id_noclegu	data_przyjazdu	data_wyjazdu	nr_dowodu	nr_pokoju	uslugi
1	2013-07-01	2013-07-02	MZP112190	401	1010
2	2013-07-01	2013-07-02	DAE905064	220	1000
3	2013-07-01	2013-07-02	SZH897459	102	1110
4	2013-07-01	2013-07-02	ARC412835	118	1110
5	2013-07-01	2013-07-02	LWM760764	104	1000
6	2013-07-01	2013-07-02	LCD769665	318	1010
7	2013-07-01	2013-07-02	TKM240144	211	1000
8	2013-07-01	2013-07-02	UEM872786	409	1100
9	2013-07-01	2013-07-02	JEH377028	202	1010
10	2013-07-01	2013-07-02	KIA596943	201	1000
11	2013-07-01	2013-07-02	LAA778195	206	1101
12	2013-07-01	2013-07-03	DNG591964	301	2020
13	2013-07-01	2013-07-02	HAU986238	303	1000
14	2013-07-01	2013-07-02	RKE241069	208	1010
15	2013-07-01	2013-07-02	EDJ564662	109	1010
16	2013-07-01	2013-07-02	RRB633560	204	1010
17	2013-07-01	2013-07-02	DUZ765135	307	1011
18	2013-07-01	2013-07-02	WCC794017	417	1100
19	2013-07-01	2013-07-03	BLX806887	212	2001
20	2013-07-01	2013-07-02	SNJ584121	407	1100
21	2013-07-01	2013-07-02	CNM980541	404	1000
22	2013-07-01	2013-07-02	AAJ461282	219	1000
23	2013-07-01	2013-07-02	RRD240460	308	1011
24	2013-07-01	2013-07-04	DKT219262	105	3000
25	2013-07-01	2013-07-02	BTC477700	415	1101
26	2013-07-01	2013-07-02	ZLM300860	313	1010
27	2013-07-02	2013-07-03	REC657172	505	1100
28	2013-07-02	2013-07-03	CIF651243	410	1100
29	2013-07-02	2013-07-03	DSS331880	414	1011
30	2013-07-02	2013-07-03	BRJ312324	215	1000
31	2013-07-02	2013-07-03	ZNW356990	111	1001
32	2013-07-02	2013-07-03	TWM724248	306	1110
33	2013-07-02	2013-07-03	JOE181006	209	1000
34	2013-07-02	2013-07-03	ZJR270357	120	1111
35	2013-07-02	2013-07-04	SGT217959	310	0000
36	2013-07-02	2013-07-03	RZR206511	420	1000
37	2013-07-02	2013-07-03	SSG692556	413	1001
38	2013-07-02	2013-07-03	DSD263750	210	0010
39	2013-07-02	2013-07-03	EEW569821	506	0110
40	2013-07-02	2013-07-03	MBD788759	116	1011
41	2013-07-02	2013-07-05	OCA656442	107	3330
42	2013-07-02	2013-07-03	UCH917309	217	1000
43	2013-07-02	2013-07-03	ALX931982	110	1001
44	2013-07-02	2013-07-04	OWA866865	314	2000
45	2013-07-03	2013-07-04	LAG858817	114	1001
46	2013-07-03	2013-07-04	TJC577804	119	0110
47	2013-07-03	2013-07-04	NME348579	104	1010
48	2013-07-03	2013-07-04	CNM331379	402	1010
49	2013-07-03	2013-07-04	CTS964590	302	1100
50	2013-07-03	2013-07-04	MBD776767	406	1010
51	2013-07-03	2013-07-04	OLC411350	214	1001
52	2013-07-03	2013-07-04	RRW210814	508	1011
53	2013-07-03	2013-07-06	ZRD201664	112	3300
54	2013-07-04	2013-07-05	RWU935362	311	1001
55	2013-07-04	2013-07-05	RNW733993	509	1011
56	2013-07-04	2013-07-07	ORS792456	501	3330
57	2013-07-04	2013-07-08	ORG855713	317	4300
58	2013-07-04	2013-07-05	DAA377706	312	1001
59	2013-07-04	2013-07-05	NWF764495	403	1110
60	2013-07-04	2013-07-05	DCM709317	304	1010
61	2013-07-04	2013-07-05	RMS452742	305	1000
62	2013-07-04	2013-07-05	LZG628588	507	1110
63	2013-07-04	2013-07-05	RKJ710368	504	1100
64	2013-07-04	2013-07-05	DCM581745	216	0110
65	2013-07-04	2013-07-05	WEP972778	203	1000
66	2013-07-04	2013-07-05	ZMH353961	205	1000
67	2013-07-04	2013-07-05	KCT662380	412	1110
68	2013-07-04	2013-07-05	SAS253401	320	1000
69	2013-07-04	2013-07-05	URW282485	207	1100
70	2013-07-04	2013-07-06	OMH575366	408	2020
71	2013-07-04	2013-07-05	DMD770179	419	0011
72	2013-07-04	2013-07-06	BRB662832	315	2000
73	2013-07-04	2013-07-05	RWD694777	101	1010
74	2013-07-05	2013-07-06	RAS236871	108	1000
75	2013-07-05	2013-07-06	IRJ743905	115	1101
76	2013-07-05	2013-07-06	AAW596622	418	1000
77	2013-07-05	2013-07-06	CAT747380	113	1110
78	2013-07-05	2013-07-06	YCT199664	103	1000
79	2013-07-05	2013-07-06	RRP910432	316	1100
80	2013-07-05	2013-07-06	ERM639718	106	1111
81	2013-07-05	2013-07-06	CAB693780	319	1100
82	2013-07-05	2013-07-06	ZAM370165	502	1000
83	2013-07-06	2013-07-09	AZM441602	509	3000
84	2013-07-06	2013-07-07	LRM698244	102	1100
85	2013-07-06	2013-07-07	ETZ924648	409	1000
86	2013-07-06	2013-07-09	YNS984314	208	3031
87	2013-07-06	2013-07-07	IGC681225	207	1000
88	2013-07-06	2013-07-07	UMA338977	406	1000
89	2013-07-06	2013-07-07	MNZ883486	418	1010
90	2013-07-06	2013-07-08	DRT331538	318	2200
91	2013-07-06	2013-07-07	COP438280	201	0011
92	2013-07-06	2013-07-07	PAB977065	108	1000
93	2013-07-06	2013-07-07	CRU699878	210	1011
94	2013-07-06	2013-07-07	AWG102489	202	1000
95	2013-07-06	2013-07-07	RDU676711	305	1111
96	2013-07-06	2013-07-08	NRU283449	204	2002
97	2013-07-06	2013-07-07	LTA246778	111	1000
98	2013-07-06	2013-07-07	EKD802545	313	1110
99	2013-07-06	2013-07-07	EDJ564662	217	0111
100	2013-07-06	2013-07-07	BLX806887	303	1011
101	2013-07-06	2013-07-07	UYW535472	310	1110
102	2013-07-06	2013-07-08	OZR230478	315	2020
103	2013-07-06	2013-07-07	LNB791788	407	1001
104	2013-07-07	2013-07-08	GMU219892	504	1101
105	2013-07-07	2013-07-08	EDM733986	206	1100
106	2013-07-07	2013-07-08	NAD793510	308	1110
107	2013-07-07	2013-07-08	ZWB583579	502	1010
108	2013-07-07	2013-07-08	ANA920725	319	1001
109	2013-07-07	2013-07-08	AZA699826	211	1010
110	2013-07-07	2013-07-08	AGW642693	402	1000
111	2013-07-07	2013-07-10	WNK453188	214	3000
112	2013-07-07	2013-07-08	LKK542319	112	1100
113	2013-07-07	2013-07-08	OTA219926	216	1100
114	2013-07-07	2013-07-08	GTB460294	215	1100
115	2013-07-07	2013-07-12	SOW507048	404	5200
116	2013-07-07	2013-07-09	RRW210814	101	2200
117	2013-07-07	2013-07-08	CAC290569	301	0000
118	2013-07-07	2013-07-08	UMU870948	205	1010
119	2013-07-07	2013-07-08	CNB608234	213	1110
120	2013-07-07	2013-07-08	IRP123227	203	1110
121	2013-07-07	2013-07-08	DKT219262	212	1000
122	2013-07-07	2013-07-08	DES604776	420	1010
123	2013-07-07	2013-07-08	ZRD201664	114	1000
124	2013-07-07	2013-07-09	ECW163676	320	2200
125	2013-07-07	2013-07-08	OPD420628	311	1111
126	2013-07-07	2013-07-08	STF452258	118	0010
127	2013-07-07	2013-07-08	ZNJ707704	314	1111
128	2013-07-07	2013-07-08	MRJ555488	116	1010
129	2013-07-08	2013-07-09	ALX130175	104	1100
130	2013-07-08	2013-07-09	STU761241	220	1010
131	2013-07-08	2013-07-09	OAF401894	113	1000
132	2013-07-08	2013-07-09	SKG991730	119	1000
133	2013-07-08	2013-07-09	EKS474398	501	1001
134	2013-07-08	2013-07-09	EKJ132667	317	0010
135	2013-07-08	2013-07-09	CTW956680	309	1010
136	2013-07-08	2013-07-09	TGC743947	403	1110
137	2013-07-08	2013-07-09	RNK542437	503	1010
138	2013-07-08	2013-07-09	LAG858817	416	1001
139	2013-07-08	2013-07-09	AZP120173	506	1000
140	2013-07-08	2013-07-09	MBD776767	110	1011
141	2013-07-08	2013-07-09	LCM712208	410	1100
142	2013-07-08	2013-07-09	IZS508691	505	1100
143	2013-07-08	2013-07-09	EAW243290	414	1010
144	2013-07-08	2013-07-09	CYA364758	312	1110
145	2013-07-09	2013-07-10	JRD545353	306	1001
146	2013-07-09	2013-07-10	PAM479742	307	0010
147	2013-07-09	2013-07-10	JNC170163	413	1010
148	2013-07-09	2013-07-10	ZOE487456	105	1000
149	2013-07-09	2013-07-10	RMK774243	109	1010
150	2013-07-09	2013-07-10	OBR535752	120	1001
151	2013-07-09	2013-07-10	RJT752154	510	1000
152	2013-07-09	2013-07-10	LKA793908	209	1000
153	2013-07-09	2013-07-10	LRC327622	316	1011
154	2013-07-09	2013-07-10	CCE703436	507	1000
155	2013-07-09	2013-07-10	JAU314979	107	1100
156	2013-07-09	2013-07-10	WNR299306	419	1010
157	2013-07-09	2013-07-10	MOE708692	417	1000
158	2013-07-09	2013-07-10	ZRW627657	302	1111
159	2013-07-09	2013-07-12	COR595349	411	3000
160	2013-07-09	2013-07-10	BRJ312324	219	1010
161	2013-07-09	2013-07-10	IRC248709	415	1010
162	2013-07-09	2013-07-10	ORM915203	203	1010
163	2013-07-09	2013-07-12	CNM635332	304	3301
164	2013-07-09	2013-07-11	ZCP317779	220	2000
165	2013-07-09	2013-07-10	AKR293566	208	1110
166	2013-07-09	2013-07-10	AGU366016	309	1111
167	2013-07-09	2013-07-11	CKU965761	418	2000
